,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.1423079893271108,0.08439392950674139,0.2031367759103651,0.10017671862912267
1,3,0.1647074674066756,0.09830919569676069,0.2359057483724361,0.11687133495336356
2,6,0.1724243950744192,0.10306486564453847,0.24594605400257458,0.12223570078990502
3,9,0.17884370584620882,0.10650788136300912,0.252381861291499,0.12571875244284353
4,12,0.18172871137317878,0.10836589869213833,0.25623320934893073,0.12782444218154268
5,15,0.18360595992478948,0.10930805429180424,0.2579203287162526,0.12874426405090136
6,18,0.1842571150021414,0.11005059768354498,0.2601438881941355,0.12985264883972755
7,21,0.18512737452445138,0.11027481502869316,0.26106214317708265,0.13011110908242182
8,24,0.18519111941536445,0.11022661013543426,0.26191730773594746,0.13026502981031188
9,27,0.18659630352755732,0.11077749222083662,0.2629721124030125,0.13072962528623738
10,30,0.18626041067914598,0.11081141192293413,0.26277405372872387,0.13087335748756063
11,33,0.18636995191257974,0.11093146877677441,0.26271360673697813,0.13091843589492874
12,36,0.18692207157918503,0.11106720351232562,0.2625933459861058,0.130914441297438
13,39,0.18710051552809115,0.11121833193387072,0.2630384681177339,0.13111836922820974
14,42,0.18705269080605438,0.11128009350462689,0.26301118789440314,0.1312085035445033
15,45,0.18761554715159978,0.11140212414257983,0.262884436560285,0.1311275138054787
16,48,0.18679275808380633,0.11088549780091733,0.2627052429883146,0.13076633898820234
17,51,0.18758421172884374,0.11144247562887385,0.2635090997790603,0.13135067479983903
18,54,0.1874697323282213,0.11127541127618548,0.2634230718498576,0.13123039374077042
19,57,0.18746930518879168,0.11130107923743816,0.2635987903783464,0.13131872422279395
20,60,0.1872473841919244,0.11124968275454446,0.26317732303539815,0.13118742874123254
21,63,0.18723400226715384,0.11107491349987914,0.2632223435121803,0.13102458731691558
22,66,0.1882229354637583,0.11155351149839694,0.26269137896492817,0.1310892875866545
23,69,0.18773773830807833,0.11130998762452363,0.2634332541536359,0.1311608007552017
24,72,0.1884025693536943,0.11136982066823228,0.26318132620475687,0.1309913591639263
25,75,0.18851822569961824,0.11132948227479256,0.2637994091197968,0.1310724617804414
26,78,0.18870973896881682,0.11168120409933656,0.2630773959028148,0.1312342682888396
27,81,0.18758783338050058,0.11130653691198825,0.2638398860254597,0.1312903782385116
28,84,0.18814473467987794,0.11153740946842172,0.26350956423091126,0.13133188210612481
29,87,0.18921772363570774,0.11178632772986967,0.26384681170329755,0.13140367091847352
30,90,0.18751988984478452,0.11141975384112336,0.26386034392595453,0.13146775914899475
31,93,0.18769384733732042,0.11117534246038038,0.26343418654754125,0.13104224851718702
32,96,0.18775376130774285,0.11120718241875643,0.2636845564865862,0.13114054319276253
33,99,0.1877259663411362,0.1113397049880377,0.26352733828654107,0.13125689555864412
34,Final,0.1877259663411362,0.1113397049880377,0.26352733828654107,0.13125689555864412
