,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.1425036669474278,0.08457661557715432,0.20497274479303879,0.10073993944353521
1,3,0.1657111053166578,0.09802361132359828,0.23485500714808866,0.11613284702254525
2,6,0.1729081965481155,0.10261383118831603,0.24436517140108155,0.12132249044153486
3,9,0.17780509559362198,0.10580619053145686,0.251157041777295,0.12496261450320001
4,12,0.1801848985958428,0.10741109692127321,0.25537610218353707,0.1270149422311795
5,15,0.1823828264098232,0.10857386338631994,0.25682382918082036,0.128121128996653
6,18,0.18350129829461773,0.10957377933437047,0.25799944212052683,0.12912882224239539
7,21,0.18371509100382377,0.10968008422978562,0.2582746619314181,0.12924625106222884
8,24,0.1842879588591833,0.1100516725226784,0.2599846370482762,0.12983543207782225
9,27,0.184560886261964,0.1103728494225948,0.2610827629873172,0.13039406829768033
10,30,0.185146471647858,0.1105624753081854,0.26138129102472635,0.1304895529964962
11,33,0.18487787911423353,0.11049954522816775,0.2607880161406236,0.13036307235068506
12,36,0.1847748343406432,0.11048974632607143,0.2611822379903644,0.1304835702456792
13,39,0.18467995193821113,0.11062117649161189,0.2614597428458003,0.1306810095059716
14,42,0.1848871551479203,0.11053442770589336,0.26110890802980263,0.13047191222039575
15,45,0.185785354386039,0.11073910840066742,0.26047766852142057,0.13033617142058077
16,48,0.18572683750931893,0.11089243691548858,0.26156660771081325,0.13070663010946582
17,51,0.18532922648553687,0.11087152278581774,0.2620918667935177,0.13085198065440395
18,54,0.18668551416022927,0.11119957178374464,0.2616614046758741,0.13081397667419067
19,57,0.1863198809929443,0.11110499582194874,0.2608709509075147,0.1306718083948349
20,60,0.1856389197729295,0.1109310203313637,0.26169002093526444,0.13087004495656035
21,63,0.18581060623420761,0.11095570188720347,0.26163966824665674,0.13082285722742681
22,66,0.18614864688446067,0.11081450541796586,0.2626297512381568,0.13077861718210823
23,69,0.18624314285472268,0.11074780280886769,0.2623617172468995,0.13063639550802597
24,72,0.1862851777999399,0.11089305661010383,0.2611564272290618,0.13049919694348686
25,75,0.18614882732230925,0.11083023657477944,0.2620916278271411,0.1306841507117173
26,78,0.18627714433419526,0.11094774386787366,0.2618011405222298,0.13070768716044068
27,81,0.18650800496977865,0.11093985132554471,0.2621189432327128,0.13070977069307876
28,84,0.1868088691357225,0.11109876716343914,0.26164416841477517,0.13071020659970373
29,87,0.1863284589721468,0.1110097771851374,0.2614963335906853,0.13070058227727582
30,90,0.1859694989542612,0.11093400205307186,0.26212748999006924,0.13089366548275858
31,93,0.18681142259555283,0.1112241418553764,0.26160778368050114,0.13086693239043984
32,96,0.18596273742315536,0.11087636459171293,0.2626694236117865,0.13087772276201448
33,99,0.18699221429558002,0.11133184159556066,0.26163809943072913,0.13085483738908593
34,Final,0.18699221429558002,0.11133184159556066,0.26163809943072913,0.13085483738908593
